"Electricity statistics by Region, Technology, Data Type and Year"

"Region","Technology","Data Type","Year",Electricity statistics
"World","Solar energy","Electricity Generation (GWh)","2010",33789.96
"World","Solar energy","Electricity Generation (GWh)","2011",65665.55
"World","Solar energy","Electricity Generation (GWh)","2012",101665.43
"World","Solar energy","Electricity Generation (GWh)","2013",137365.01
"World","Solar energy","Electricity Generation (GWh)","2014",192590.35
"World","Solar energy","Electricity Generation (GWh)","2015",252301.59
"World","Solar energy","Electricity Generation (GWh)","2016",324828.14
"World","Solar energy","Electricity Generation (GWh)","2017",435595.21
"World","Solar energy","Electricity Generation (GWh)","2018",560272.82
"World","Solar energy","Electricity Generation (GWh)","2019",691604.42
"World","Solar energy","Electricity Generation (GWh)","2020",841856.53
"World","Solar energy","Electricity Generation (GWh)","2021",1036831.93
"World","Solar energy","Electricity Generation (GWh)","2022",1297212.90
"World","Solar energy","Electricity Generation (GWh)","2023",1623750.88
"World","Solar energy","Electricity Generation (GWh)","2024",-
"World","Wind energy","Electricity Installed Capacity (MW)","2000",16960.93
"World","Wind energy","Electricity Installed Capacity (MW)","2001",23954.52
"World","Wind energy","Electricity Installed Capacity (MW)","2002",30723.20
"World","Wind energy","Electricity Installed Capacity (MW)","2003",38659.72
"World","Wind energy","Electricity Installed Capacity (MW)","2004",47660.07
"World","Wind energy","Electricity Installed Capacity (MW)","2005",58462.90
"World","Wind energy","Electricity Installed Capacity (MW)","2006",73143.36
"World","Wind energy","Electricity Installed Capacity (MW)","2007",91516.42
"World","Wind energy","Electricity Installed Capacity (MW)","2008",115475.40
"World","Wind energy","Electricity Installed Capacity (MW)","2009",150104.49
"World","Wind energy","Electricity Installed Capacity (MW)","2010",180840.54
"World","Wind energy","Electricity Installed Capacity (MW)","2011",220178.20
"World","Wind energy","Electricity Installed Capacity (MW)","2012",266937.93
"World","Wind energy","Electricity Installed Capacity (MW)","2013",299758.56
"World","Wind energy","Electricity Installed Capacity (MW)","2014",349493.81
"World","Wind energy","Electricity Installed Capacity (MW)","2015",416384.98
"World","Wind energy","Electricity Installed Capacity (MW)","2016",467316.39
"World","Wind energy","Electricity Installed Capacity (MW)","2017",514977.58
"World","Wind energy","Electricity Installed Capacity (MW)","2018",563520.63
"World","Wind energy","Electricity Installed Capacity (MW)","2019",623066.90
"World","Wind energy","Electricity Installed Capacity (MW)","2020",733362.26
"World","Wind energy","Electricity Installed Capacity (MW)","2021",824308.34
"World","Wind energy","Electricity Installed Capacity (MW)","2022",903007.73
"World","Wind energy","Electricity Installed Capacity (MW)","2023",1018346.00
"World","Wind energy","Electricity Installed Capacity (MW)","2024",1132656.91
"World","Wind energy","Electricity Generation (GWh)","2000",30965.71
"World","Wind energy","Electricity Generation (GWh)","2001",37745.50
"World","Wind energy","Electricity Generation (GWh)","2002",52430.34
"World","Wind energy","Electricity Generation (GWh)","2003",63397.65
"World","Wind energy","Electricity Generation (GWh)","2004",84108.45
"World","Wind energy","Electricity Generation (GWh)","2005",103243.20
"World","Wind energy","Electricity Generation (GWh)","2006",129545.43
"World","Wind energy","Electricity Generation (GWh)","2007",168926.75
"World","Wind energy","Electricity Generation (GWh)","2008",216925.22
"World","Wind energy","Electricity Generation (GWh)","2009",272077.39
"World","Wind energy","Electricity Generation (GWh)","2010",342890.45
"World","Wind energy","Electricity Generation (GWh)","2011",433861.89
"World","Wind energy","Electricity Generation (GWh)","2012",526180.52
"World","Wind energy","Electricity Generation (GWh)","2013",636555.51
"World","Wind energy","Electricity Generation (GWh)","2014",712215.69
"World","Wind energy","Electricity Generation (GWh)","2015",827996.52
"World","Wind energy","Electricity Generation (GWh)","2016",953046.33
"World","Wind energy","Electricity Generation (GWh)","2017",1131498.99
"World","Wind energy","Electricity Generation (GWh)","2018",1258771.63
"World","Wind energy","Electricity Generation (GWh)","2019",1412811.60
"World","Wind energy","Electricity Generation (GWh)","2020",1588944.68
"World","Wind energy","Electricity Generation (GWh)","2021",1842085.92
"World","Wind energy","Electricity Generation (GWh)","2022",2097488.44
"World","Wind energy","Electricity Generation (GWh)","2023",2303935.43
"World","Wind energy","Electricity Generation (GWh)","2024",-
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2000",706581.54
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2001",718506.10
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2002",730219.86
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2003",748874.22
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2004",769253.22
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2005",791140.26
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2006",811953.38
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2007",837302.99
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2008",866475.94
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2009",896442.00
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2010",926313.12
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2011",954265.37
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2012",987534.16
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2013",1034765.57
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2014",1067128.31
"World","Hydropower (excl. Pumped Storage)","Electricity Installed Capacity (MW)","2015",1099059.22
